num_passengers,sales_channel,trip_type,length_of_stay,flight_hour,flight_day,route,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
2,Internet,RoundTrip,19.0,7.0,Sat,AKLDEL,1.0,0.0,0.0,5.52,0
1,Internet,RoundTrip,20.0,3.0,Sat,AKLDEL,0.0,0.0,0.0,5.52,0
2,Internet,RoundTrip,22.0,17.0,Wed,AKLDEL,1.0,1.0,0.0,5.52,0
1,Internet,RoundTrip,31.0,4.0,Sat,AKLDEL,0.0,0.0,1.0,5.52,0
2,Internet,RoundTrip,22.0,15.0,Wed,AKLDEL,1.0,0.0,1.0,5.52,0
1,Internet,RoundTrip,48.0,20.0,Thu,AKLDEL,1.0,0.0,1.0,5.52,0
3,Internet,RoundTrip,33.0,6.0,Thu,AKLDEL,1.0,0.0,1.0,5.52,0
2,Internet,RoundTrip,19.0,14.0,Mon,AKLDEL,1.0,0.0,1.0,5.52,0
1,Internet,RoundTrip,22.0,4.0,Mon,AKLDEL,0.0,0.0,1.0,5.52,0
1,Mobile,RoundTrip,30.0,12.0,Sun,AKLDEL,0.0,0.0,0.0,5.52,0
2,Internet,RoundTrip,25.0,14.0,Tue,AKLDEL,1.0,1.0,1.0,5.52,0
1,Internet,RoundTrip,43.0,2.0,Sat,AKLDEL,1.0,1.0,1.0,5.52,0
4,Internet,RoundTrip,24.0,19.0,Mon,AKLDEL,1.0,0.0,1.0,5.52,0
1,Internet,RoundTrip,17.0,14.0,Fri,AKLDEL,0.0,0.0,0.0,5.52,0
1,Internet,RoundTrip,34.0,4.0,Tue,AKLDEL,1.0,1.0,1.0,5.52,0
1,Internet,RoundTrip,18.0,14.0,Thu,AKLDEL,1.0,0.0,0.0,5.52,0
1,Internet,RoundTrip,37.0,6.0,Sun,AKLDEL,0.0,0.0,0.0,5.52,0
1,Internet,RoundTrip,29.0,10.0,Sat,AKLDEL,0.0,0.0,1.0,5.52,0
1,Internet,RoundTrip,155.0,8.0,Sun,AKLDEL,1.0,0.0,0.0,5.52,0
1,Internet,RoundTrip,17.0,3.0,Sun,AKLHGH,0.0,0.0,0.0,5.07,0
2,Internet,CircleTrip,29.0,23.0,Wed,AKLHND,1.0,0.0,0.0,7.57,0
1,Internet,RoundTrip,88.0,9.0,Wed,AKLICN,1.0,0.0,1.0,6.62,0
2,Internet,RoundTrip,19.0,8.0,Mon,AKLICN,1.0,0.0,1.0,6.62,0
2,Internet,RoundTrip,27.0,13.0,Fri,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,21.0,6.0,Thu,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,20.0,7.0,Thu,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,28.0,6.0,Fri,AKLICN,0.0,0.0,0.0,6.62,0
2,Internet,RoundTrip,24.0,7.0,Mon,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,19.0,11.0,Tue,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,47.0,2.0,Tue,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,35.0,23.0,Wed,AKLICN,1.0,1.0,0.0,6.62,0
2,Internet,RoundTrip,82.0,4.0,Thu,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,27.0,0.0,Fri,AKLICN,0.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,34.0,4.0,Mon,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,22.0,7.0,Fri,AKLICN,1.0,1.0,0.0,6.62,0
1,Internet,RoundTrip,27.0,4.0,Wed,AKLICN,0.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,22.0,14.0,Sat,AKLICN,1.0,0.0,0.0,6.62,0
6,Internet,RoundTrip,22.0,3.0,Fri,AKLICN,1.0,1.0,1.0,6.62,0
2,Internet,RoundTrip,21.0,7.0,Thu,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,33.0,1.0,Mon,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,26.0,7.0,Mon,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,90.0,7.0,Thu,AKLICN,1.0,1.0,1.0,6.62,0
2,Internet,RoundTrip,23.0,8.0,Mon,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,84.0,7.0,Wed,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,22.0,14.0,Thu,AKLICN,1.0,0.0,0.0,6.62,0
1,Mobile,RoundTrip,61.0,2.0,Sun,AKLICN,0.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,18.0,14.0,Wed,AKLICN,0.0,0.0,1.0,6.62,0
2,Internet,RoundTrip,40.0,7.0,Wed,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,24.0,14.0,Fri,AKLICN,0.0,1.0,0.0,6.62,0
1,Internet,RoundTrip,27.0,10.0,Wed,AKLICN,0.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,96.0,9.0,Tue,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,17.0,9.0,Wed,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,25.0,8.0,Thu,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,69.0,2.0,Wed,AKLICN,1.0,1.0,1.0,6.62,0
1,Internet,RoundTrip,89.0,14.0,Tue,AKLICN,1.0,0.0,1.0,6.62,0
2,Internet,RoundTrip,25.0,4.0,Thu,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,25.0,6.0,Tue,AKLICN,0.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,21.0,14.0,Tue,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,18.0,10.0,Mon,AKLICN,0.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,23.0,9.0,Sun,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,58.0,2.0,Sat,AKLICN,1.0,0.0,1.0,6.62,0
4,Internet,RoundTrip,21.0,9.0,Mon,AKLICN,1.0,1.0,0.0,6.62,0
1,Internet,RoundTrip,27.0,14.0,Sun,AKLICN,1.0,0.0,1.0,6.62,0
4,Internet,RoundTrip,27.0,6.0,Sat,AKLICN,0.0,1.0,0.0,6.62,0
1,Internet,RoundTrip,56.0,7.0,Fri,AKLICN,1.0,0.0,1.0,6.62,0
2,Internet,RoundTrip,43.0,10.0,Sun,AKLICN,0.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,29.0,11.0,Wed,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,110.0,6.0,Tue,AKLICN,1.0,0.0,0.0,6.62,0
1,Internet,RoundTrip,19.0,8.0,Mon,AKLICN,1.0,0.0,1.0,6.62,0
1,Internet,RoundTrip,165.0,3.0,Mon,AKLKIX,1.0,0.0,0.0,7.0,0
1,Internet,RoundTrip,111.0,13.0,Mon,AKLKIX,1.0,0.0,1.0,7.0,0
1,Internet,RoundTrip,34.0,23.0,Sun,AKLKIX,0.0,0.0,0.0,7.0,0
2,Internet,RoundTrip,38.0,5.0,Sun,AKLKIX,1.0,0.0,0.0,7.0,0
1,Internet,RoundTrip,207.0,10.0,Sun,AKLKIX,1.0,0.0,1.0,7.0,0
1,Internet,RoundTrip,27.0,11.0,Sat,AKLKIX,0.0,0.0,0.0,7.0,0
1,Internet,RoundTrip,20.0,6.0,Fri,AKLKTM,1.0,0.0,0.0,4.75,0
2,Internet,RoundTrip,91.0,3.0,Mon,AKLKTM,1.0,0.0,1.0,4.75,0
2,Internet,RoundTrip,34.0,4.0,Thu,AKLKTM,1.0,0.0,0.0,4.75,0
1,Mobile,CircleTrip,18.0,3.0,Wed,AKLKTM,1.0,0.0,0.0,4.75,0
1,Internet,CircleTrip,18.0,19.0,Tue,AKLKTM,1.0,0.0,0.0,4.75,0
1,Internet,RoundTrip,21.0,3.0,Wed,AKLKTM,1.0,0.0,0.0,4.75,0
1,Internet,OneWay,1.0,10.0,Tue,AKLKTM,1.0,0.0,0.0,4.75,0
1,Internet,RoundTrip,31.0,17.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,274.0,10.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,35.0,16.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,17.0,3.0,Tue,AKLKUL,1.0,1.0,1.0,8.83,0
1,Internet,RoundTrip,19.0,14.0,Mon,AKLKUL,1.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,44.0,23.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,38.0,9.0,Mon,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,24.0,5.0,Fri,AKLKUL,1.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,57.0,8.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,18.0,4.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,106.0,19.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,68.0,2.0,Fri,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,87.0,2.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,1
1,Internet,RoundTrip,33.0,3.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,35.0,19.0,Fri,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,37.0,20.0,Wed,AKLKUL,0.0,1.0,0.0,8.83,0
2,Internet,RoundTrip,29.0,18.0,Thu,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,51.0,13.0,Fri,AKLKUL,1.0,0.0,1.0,8.83,0
1,Mobile,RoundTrip,21.0,1.0,Sun,AKLKUL,1.0,1.0,1.0,8.83,0
2,Internet,RoundTrip,19.0,0.0,Mon,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,31.0,23.0,Sun,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,OneWay,1.0,13.0,Tue,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,196.0,8.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,77.0,8.0,Mon,AKLKUL,0.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,17.0,8.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,20.0,7.0,Thu,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,41.0,23.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
1,Mobile,RoundTrip,17.0,16.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,1
2,Mobile,RoundTrip,17.0,6.0,Mon,AKLKUL,1.0,1.0,1.0,8.83,0
1,Internet,RoundTrip,30.0,10.0,Tue,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,21.0,9.0,Sat,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,27.0,2.0,Tue,AKLKUL,1.0,1.0,1.0,8.83,0
1,Internet,RoundTrip,87.0,5.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,278.0,2.0,Thu,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,18.0,6.0,Thu,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,58.0,4.0,Sun,AKLKUL,0.0,1.0,0.0,8.83,0
6,Internet,RoundTrip,28.0,0.0,Sat,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,108.0,2.0,Thu,AKLKUL,1.0,1.0,0.0,8.83,0
4,Internet,RoundTrip,29.0,17.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,21.0,0.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,17.0,14.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,29.0,10.0,Fri,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,180.0,13.0,Thu,AKLKUL,1.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,21.0,4.0,Fri,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,18.0,7.0,Sun,AKLKUL,1.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,72.0,14.0,Sat,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,32.0,2.0,Tue,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,30.0,12.0,Wed,AKLKUL,1.0,1.0,1.0,8.83,0
2,Internet,RoundTrip,18.0,11.0,Thu,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,21.0,10.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,51.0,3.0,Thu,AKLKUL,1.0,0.0,1.0,8.83,0
4,Internet,RoundTrip,17.0,1.0,Thu,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,24.0,9.0,Wed,AKLKUL,0.0,1.0,1.0,8.83,0
4,Internet,RoundTrip,17.0,16.0,Sun,AKLKUL,1.0,0.0,1.0,8.83,0
3,Internet,RoundTrip,17.0,13.0,Mon,AKLKUL,1.0,1.0,1.0,8.83,1
2,Internet,RoundTrip,61.0,11.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,25.0,18.0,Fri,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,62.0,6.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,21.0,10.0,Mon,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,21.0,8.0,Fri,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,45.0,6.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,31.0,3.0,Thu,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,26.0,23.0,Wed,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,44.0,3.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,25.0,22.0,Mon,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,19.0,1.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,20.0,22.0,Wed,AKLKUL,0.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,35.0,1.0,Sat,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,23.0,4.0,Sun,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,19.0,13.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,91.0,23.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,18.0,20.0,Wed,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,25.0,9.0,Sun,AKLKUL,1.0,0.0,0.0,8.83,0
5,Internet,RoundTrip,17.0,12.0,Thu,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,50.0,8.0,Sat,AKLKUL,1.0,1.0,1.0,8.83,0
1,Internet,RoundTrip,28.0,10.0,Sun,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,21.0,13.0,Sun,AKLKUL,0.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,59.0,9.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,0
1,Mobile,RoundTrip,18.0,9.0,Mon,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,125.0,12.0,Sat,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,18.0,5.0,Thu,AKLKUL,0.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,27.0,23.0,Fri,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,106.0,3.0,Thu,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,28.0,20.0,Sun,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,45.0,8.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,29.0,11.0,Sun,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,124.0,9.0,Wed,AKLKUL,1.0,0.0,0.0,8.83,1
1,Internet,RoundTrip,33.0,9.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
5,Mobile,RoundTrip,21.0,8.0,Fri,AKLKUL,1.0,1.0,1.0,8.83,0
2,Internet,RoundTrip,34.0,0.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,35.0,20.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,20.0,20.0,Sun,AKLKUL,1.0,1.0,1.0,8.83,0
1,Internet,RoundTrip,46.0,8.0,Wed,AKLKUL,1.0,1.0,1.0,8.83,0
1,Mobile,RoundTrip,21.0,12.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,33.0,10.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
5,Internet,RoundTrip,17.0,13.0,Sun,AKLKUL,1.0,0.0,0.0,8.83,0
4,Internet,RoundTrip,55.0,5.0,Thu,AKLKUL,1.0,1.0,0.0,8.83,0
5,Internet,RoundTrip,18.0,10.0,Fri,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,22.0,13.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,1
2,Internet,RoundTrip,21.0,17.0,Tue,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,47.0,1.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,26.0,15.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,51.0,4.0,Wed,AKLKUL,1.0,1.0,1.0,8.83,0
4,Internet,RoundTrip,24.0,9.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,17.0,9.0,Fri,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,19.0,7.0,Wed,AKLKUL,0.0,0.0,0.0,8.83,0
1,Mobile,RoundTrip,22.0,8.0,Sun,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,35.0,13.0,Sun,AKLKUL,0.0,1.0,0.0,8.83,1
1,Internet,RoundTrip,23.0,9.0,Mon,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,18.0,23.0,Tue,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,23.0,10.0,Tue,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,26.0,21.0,Wed,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,19.0,17.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,21.0,21.0,Thu,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,27.0,1.0,Wed,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,31.0,2.0,Fri,AKLKUL,0.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,20.0,9.0,Mon,AKLKUL,1.0,0.0,0.0,8.83,0
4,Internet,RoundTrip,18.0,6.0,Sun,AKLKUL,1.0,1.0,1.0,8.83,0
4,Internet,RoundTrip,22.0,14.0,Thu,AKLKUL,1.0,0.0,0.0,8.83,1
5,Internet,RoundTrip,35.0,2.0,Tue,AKLKUL,1.0,1.0,1.0,8.83,1
1,Internet,RoundTrip,21.0,16.0,Sun,AKLKUL,1.0,0.0,0.0,8.83,0
2,Internet,RoundTrip,46.0,2.0,Mon,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,21.0,12.0,Wed,AKLKUL,1.0,0.0,1.0,8.83,0
2,Internet,RoundTrip,87.0,6.0,Wed,AKLKUL,0.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,91.0,6.0,Fri,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,25.0,6.0,Tue,AKLKUL,1.0,1.0,0.0,8.83,1
1,Internet,RoundTrip,56.0,15.0,Thu,AKLKUL,1.0,0.0,0.0,8.83,0
1,Internet,RoundTrip,90.0,7.0,Sat,AKLKUL,1.0,1.0,0.0,8.83,0
1,Internet,RoundTrip,60.0,11.0,Sun,AKLKUL,1.0,0.0,1.0,8.83,0
1,Internet,RoundTrip,22.0,7.0,Sat,AKLKUL,1.0,0.0,0.0,8.83,0
